channelKey,year,month,uploads_count,uploads_short_count,uploads_normal,uploads_shorts_share,uploads_shorts_share_per_month,views_total,views_shorts,views_normal,percent_views_from_shorts_from_total,avg_views_per_video,avg_duration_seconds,likes_total,comments_total,likes_per_1k_views,comments_per_1k_views,shares_per_1k_views,engagement_per_1k_views,views_mom_pct,views_share_across_channels
@ESPN,2024,2024-05,634,324,310,0.511,0.511,194748720,156592110.0,38156610.0,0.8041,307174.64,308.95,5207993,227910,26.74,1.17,,27.909999999999997,,0.1821
@ESPN,2024,2024-06,1174,656,518,0.5588,0.5588,244532228,189224409.0,55307819.0,0.7738,208289.8,293.82,7755772,389500,31.72,1.59,,33.31,0.2556,0.4144
@ESPN,2024,2024-07,848,491,357,0.579,0.579,302187979,262619728.0,39568251.0,0.8691,356353.75,345.33,10856810,271339,35.93,0.9,,36.83,0.2358,0.4729
@ESPN,2024,2024-08,683,410,273,0.6003,0.6003,167155204,148463060.0,18692144.0,0.8882,244736.76,342.54,4838333,114273,28.95,0.68,,29.63,-0.4469,0.2773
@ESPN,2024,2024-09,851,476,375,0.5593,0.5593,82548145,55270454.0,27277691.0,0.6696,97001.35,436.04,2127429,129761,25.77,1.57,,27.34,-0.5062,0.4142
@ESPN,2024,2024-10,974,634,340,0.6509,0.6509,87979215,62356274.0,25622941.0,0.7088,90327.74,405.97,2121878,116950,24.12,1.33,,25.450000000000003,0.0658,0.2419
@ESPN,2024,2024-11,872,580,292,0.6651,0.6651,217842952,191672066.0,26170886.0,0.8799,249819.9,412.6,4635949,203607,21.28,0.93,,22.21,1.4761,0.416
@ESPN,2024,2024-12,1047,732,315,0.6991,0.6991,111420023,78532067.0,32887956.0,0.7048,106418.36,351.79,3025102,140266,27.15,1.26,,28.41,-0.4885,0.2516
@HouseofHighlights,2024,2024-01,19,12,7,0.6316,0.6316,230841887,230388044.0,453843.0,0.998,12149573.0,521.89,5902974,36169,25.57,0.16,,25.73,,0.4779
@HouseofHighlights,2024,2024-02,25,17,8,0.68,0.68,51740987,50715457.0,1025530.0,0.9802,2069639.48,347.88,1936159,21387,37.42,0.41,,37.83,-0.7759,0.1373
@HouseofHighlights,2024,2024-03,34,30,4,0.8824,0.8824,777182358,776934779.0,247579.0,0.9997,22858304.65,61.15,14069849,129432,18.1,0.17,,18.270000000000003,14.0206,0.7689
@HouseofHighlights,2024,2024-04,38,32,6,0.8421,0.8421,399699092,399558964.0,140128.0,0.9996,10518397.16,94.32,15453022,113610,38.66,0.28,,38.94,-0.4857,0.5608
@HouseofHighlights,2024,2024-05,53,43,10,0.8113,0.8113,637993559,636450612.0,1542947.0,0.9976,12037614.32,367.06,18810813,106096,29.48,0.17,,29.650000000000002,0.5962,0.5964
@HouseofHighlights,2024,2024-06,44,38,6,0.8636,0.8636,250230632,249781071.0,449561.0,0.9982,5687059.82,975.59,10267490,56093,41.03,0.22,,41.25,-0.6078,0.4241
@HouseofHighlights,2024,2024-07,73,62,11,0.8493,0.8493,166730391,163164830.0,3565561.0,0.9786,2283977.96,300.14,7602596,51415,45.6,0.31,,45.910000000000004,-0.3337,0.2609
@HouseofHighlights,2024,2024-08,53,37,16,0.6981,0.6981,342409052,334979573.0,7429479.0,0.9783,6460548.15,226.43,11256594,73508,32.87,0.21,,33.08,1.0537,0.5681
@HouseofHighlights,2024,2024-09,19,19,0,1.0,1.0,67682953,67682953.0,0.0,1.0,3562260.68,20.63,3377718,35303,49.91,0.52,,50.43,-0.8023,0.3396
@HouseofHighlights,2024,2024-10,34,27,7,0.7941,0.7941,77102665,76775047.0,327618.0,0.9958,2267725.44,151.91,3108940,18970,40.32,0.25,,40.57,0.1392,0.212
@HouseofHighlights,2024,2024-11,47,39,8,0.8298,0.8298,80570184,78677213.0,1892971.0,0.9765,1714259.23,117.02,3657488,37569,45.4,0.47,,45.87,0.045,0.1539
@HouseofHighlights,2024,2024-12,40,31,9,0.775,0.775,138770566,137965703.0,804863.0,0.9942,3469264.15,297.75,5453025,27002,39.3,0.19,,39.489999999999995,0.7224,0.3133
@NBA,2024,2024-01,662,172,490,0.2598,0.2598,192744228,65494633.0,127249595.0,0.3398,291154.42,1060.09,3621174,192655,18.79,1.0,,19.79,,0.3991
@NBA,2024,2024-02,687,263,424,0.3828,0.3828,148610967,37834173.0,110776794.0,0.2546,216318.73,898.55,2947008,168386,19.83,1.13,,20.959999999999997,-0.229,0.3943
