channelKey,year,month,uploads_count_Normal,uploads_count_Short,views_total_Normal,views_total_Short,likes_total_Normal,likes_total_Short,comments_total_Normal,comments_total_Short,likes_per_1k_views_Normal,likes_per_1k_views_Short,comments_per_1k_views_Normal,comments_per_1k_views_Short,engagement_per_1k_views_Normal,engagement_per_1k_views_Short,avg_views_per_video_Normal,avg_views_per_video_Short,avg_duration_seconds_Normal,avg_duration_seconds_Short,views_mom_pct_Normal,views_mom_pct_Short,uploads_share_within_channel_month_Normal,uploads_share_within_channel_month_Short,views_share_within_channel_month_Normal,views_share_within_channel_month_Short,likes_per_1k_views_short_minus_normal,likes_per_1k_views_short_div_normal,comments_per_1k_views_short_minus_normal,comments_per_1k_views_short_div_normal,engagement_per_1k_views_short_minus_normal,engagement_per_1k_views_short_div_normal,avg_views_per_video_short_minus_normal,avg_views_per_video_short_div_normal
@ESPN,2024,2024-05,310.0,324.0,38156610.0,156592110.0,411807.0,4796186.0,154479.0,73431.0,10.79,30.63,4.05,0.47,14.84,31.1,123085.84,483308.98,603.66,26.97,,,0.489,0.511,0.1959,0.8041,19.84,2.839,-3.58,0.116,16.26,2.096,360223.14,3.927
@ESPN,2024,2024-06,518.0,656.0,55307819.0,189224409.0,561345.0,7194427.0,252598.0,136902.0,10.15,38.02,4.57,0.72,14.72,38.74,106771.85,288451.84,631.51,27.17,0.4495,0.2084,0.4412,0.5588,0.2262,0.7738,27.87,3.746,-3.85,0.158,24.02,2.632,181679.99,2.702
@ESPN,2024,2024-07,357.0,491.0,39568251.0,262619728.0,412517.0,10444293.0,138821.0,132518.0,10.43,39.77,3.51,0.5,13.93,40.27,110835.44,534867.06,781.29,28.34,-0.2846,0.3879,0.421,0.579,0.1309,0.8691,29.34,3.813,-3.01,0.142,26.34,2.891,424031.62,4.826
@ESPN,2024,2024-08,273.0,410.0,18692144.0,148463060.0,201282.0,4637051.0,64910.0,49363.0,10.77,31.23,3.47,0.33,14.24,31.57,68469.39,362105.02,813.65,28.84,-0.5276,-0.4347,0.3997,0.6003,0.1118,0.8882,20.46,2.9,-3.14,0.095,17.33,2.217,293635.63,5.289
@ESPN,2024,2024-09,375.0,476.0,27277691.0,55270454.0,277209.0,1850220.0,87811.0,41950.0,10.16,33.48,3.22,0.76,13.38,34.23,72740.51,116114.4,956.47,26.04,0.4593,-0.6277,0.4407,0.5593,0.3304,0.6696,23.32,3.295,-2.46,0.236,20.85,2.558,43373.89,1.596
@ESPN,2024,2024-10,340.0,634.0,25622941.0,62356274.0,284689.0,1837189.0,68002.0,48948.0,11.11,29.46,2.65,0.78,13.76,30.25,75361.59,98353.74,1098.19,34.74,-0.0607,0.1282,0.3491,0.6509,0.2912,0.7088,18.35,2.652,-1.87,0.294,16.49,2.198,22992.15,1.305
@ESPN,2024,2024-11,292.0,580.0,26170886.0,191672066.0,256584.0,4379365.0,56840.0,146767.0,9.8,22.85,2.17,0.77,11.98,23.61,89626.32,330469.08,1156.46,38.11,0.0214,2.0738,0.3349,0.6651,0.1201,0.8799,13.05,2.332,-1.4,0.355,11.63,1.971,240842.76,3.687
@ESPN,2024,2024-12,315.0,732.0,32887956.0,78532067.0,291585.0,2733517.0,76148.0,64118.0,8.87,34.81,2.32,0.82,11.18,35.62,104406.21,107284.24,1066.88,44.07,0.2567,-0.5903,0.3009,0.6991,0.2952,0.7048,25.94,3.924,-1.5,0.353,24.44,3.186,2878.03,1.028
@HouseofHighlights,2024,2024-01,7.0,12.0,453843.0,230388044.0,7413.0,5895561.0,747.0,35422.0,16.33,25.59,1.65,0.15,17.98,25.74,64834.71,19199003.67,1377.86,22.58,,,0.3684,0.6316,0.002,0.998,9.26,1.567,-1.5,0.091,7.76,1.432,19134168.96,296.122
@HouseofHighlights,2024,2024-02,8.0,17.0,1025530.0,50715457.0,7729.0,1928430.0,1074.0,20313.0,7.54,38.02,1.05,0.4,8.58,38.43,128191.25,2983262.18,1042.75,20.88,1.2597,-0.7799,0.32,0.68,0.0198,0.9802,30.48,5.042,-0.65,0.381,29.85,4.479,2855070.93,23.272
