channelKey,month,uploads_count,views_total,likes_total,comments_total,avg_duration_seconds,uploads_short_count,views_shorts,uploads_shorts_share,uploads_shorts_share_per_month,percent_views_from_shorts_from_total,avg_views_per_video,likes_per_1k_views,comments_per_1k_views,engagement_per_1k_views,views_mom_pct,views_share_across_channels
@CoComelon,2024-01,17,241956395,2671332,0,686.94,8,153229530.0,0.4706,0.4706,0.6333,14232729.12,11.04,0.0,11.04,,0.0432
@CoComelon,2024-02,22,282432818,2854085,0,541.91,14,194892293.0,0.6364,0.6364,0.69,12837855.36,10.11,0.0,10.11,0.1673,0.0503
@CoComelon,2024-03,27,404921511,3073672,0,484.78,18,232258337.0,0.6667,0.6667,0.5736,14997093.0,7.59,0.0,7.59,0.4337,0.0992
@CoComelon,2024-04,30,261124769,2782390,0,497.9,18,146445975.0,0.6,0.6,0.5608,8704158.97,10.66,0.0,10.66,-0.3551,0.0725
@CoComelon,2024-05,26,361557014,3003515,0,452.31,18,165948567.0,0.6923,0.6923,0.459,13906039.0,8.31,0.0,8.31,0.3846,0.0958
@CoComelon,2024-06,27,472920102,4586251,0,601.44,17,305806809.0,0.6296,0.6296,0.6466,17515559.33,9.7,0.0,9.7,0.308,0.2082
@CoComelon,2024-07,27,397362721,3228014,0,404.44,18,173542734.0,0.6667,0.6667,0.4367,14717137.81,8.12,0.0,8.12,-0.1598,0.125
@CoComelon,2024-08,29,803951686,8860109,0,371.72,19,705764034.0,0.6552,0.6552,0.8779,27722471.93,11.02,0.0,11.02,1.0232,0.2504
@CoComelon,2024-09,30,359203337,3376471,0,362.7,20,250927797.0,0.6667,0.6667,0.6986,11973444.57,9.4,0.0,9.4,-0.5532,0.0917
@CoComelon,2024-10,41,357250843,3813816,0,255.49,35,313891113.0,0.8537,0.8537,0.8786,8713435.2,10.68,0.0,10.68,-0.0054,0.0891
@CoComelon,2024-11,32,313742272,2291654,0,477.91,23,159876773.0,0.7188,0.7188,0.5096,9804446.0,7.3,0.0,7.3,-0.1218,0.0565
@CoComelon,2024-12,35,356950819,2694040,0,414.23,24,212852213.0,0.6857,0.6857,0.5963,10198594.83,7.55,0.0,7.55,0.1377,0.0747
@MrBeast,2024-01,2,543063560,10595029,171267,976.5,0,0.0,0.0,0.0,0.0,271531780.0,19.51,0.32,19.83,,0.097
@MrBeast,2024-02,5,2008213515,63154206,346898,294.0,4,1653020194.0,0.8,0.8,0.8231,401642703.0,31.45,0.17,31.62,2.6979,0.3575
@MrBeast,2024-03,4,1156779521,27155438,561693,895.5,1,173436951.0,0.25,0.25,0.1499,289194880.25,23.48,0.49,23.96,-0.424,0.2835
@MrBeast,2024-04,7,2664801041,88824384,457192,457.57,5,2203991220.0,0.7143,0.7143,0.8271,380685863.0,33.33,0.17,33.5,1.3036,0.7396
@MrBeast,2024-05,8,2285652184,89799343,1137799,142.38,7,2121833386.0,0.875,0.875,0.9283,285706523.0,39.29,0.5,39.79,-0.1423,0.6055
@MrBeast,2024-06,3,928389952,23129313,764858,1283.67,0,0.0,0.0,0.0,0.0,309463317.33,24.91,0.82,25.74,-0.5938,0.4088
@MrBeast,2024-07,5,2041248208,64250994,490249,525.2,4,1622832732.0,0.8,0.8,0.795,408249641.6,31.48,0.24,31.72,1.1987,0.6422
@MrBeast,2024-08,4,1151649043,30499693,227471,768.5,2,656961143.0,0.5,0.5,0.5705,287912260.75,26.48,0.2,26.68,-0.4358,0.3587
@MrBeast,2024-09,6,2044807505,50106354,121802,693.5,4,1655904342.0,0.6667,0.6667,0.8098,340801250.83,24.5,0.06,24.56,0.7755,0.522
@MrBeast,2024-10,5,1773033118,54176248,92427,267.6,4,1607285992.0,0.8,0.8,0.9065,354606623.6,30.56,0.05,30.61,-0.1329,0.4423
@MrBeast,2024-11,7,3030681526,69003706,244683,362.57,5,2434389317.0,0.7143,0.7143,0.8032,432954503.71,22.77,0.08,22.85,0.7093,0.5457
@MrBeast,2024-12,6,2474217841,64407313,149709,275.83,5,2288944058.0,0.8333,0.8333,0.9251,412369640.17,26.03,0.06,26.09,-0.1836,0.5178
@SETIndia,2024-08,222,37316160,1252382,4860,725.18,137,26020870.0,0.6171,0.6171,0.6973,168090.81,33.56,0.13,33.69,,0.0116
@SETIndia,2024-09,2071,250366441,5111450,49924,771.36,1117,112075782.0,0.5394,0.5394,0.4476,120891.57,20.42,0.2,20.62,5.7093,0.0639
